Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
OTB_BACT_8-29-2025,Blank,All Events,BL1 - BL1-H,N/A,665,50,13.300,12213,N/A,37266.98,N/A
OTB_BACT_8-29-2025,Blank,R2,BL1 - BL1-H,N/A,323,50,6.460,19286,N/A,25901.51,N/A
OTB_BACT_8-29-2025,Blank,R1,BL1 - BL1-H,N/A,665,50,13.300,12213,N/A,37266.98,N/A
OTB_BACT_8-29-2025,Blank,R1,FSC - FSC-H,SSC - SSC-H,665,50,13.300,2237,2236,1613.12,2504.55
OTB_BACT_8-29-2025,Blank,R3,BL1 - BL1-H,SSC - SSC-H,72,50,1.440,55550,1260,34826.97,1018.47
OTB_BACT_8-29-2025,Blank,R1,BL1 - BL1-H,SSC - SSC-H,665,50,13.300,12213,2236,37266.98,2504.55
OTB_BACT_8-29-2025,Blank,R3,FSC - FSC-H,SSC - SSC-H,72,50,1.440,2215,1260,1596.49,1018.47
OTB_BACT_8-29-2025,St1_1,All Events,BL1 - BL1-H,N/A,386950,50,7739.000,36209,N/A,45913.58,N/A
OTB_BACT_8-29-2025,St1_1,R2,BL1 - BL1-H,N/A,328648,50,6572.960,39031,N/A,32964.67,N/A
OTB_BACT_8-29-2025,St1_1,R1,BL1 - BL1-H,N/A,386950,50,7739.000,36209,N/A,45913.58,N/A
OTB_BACT_8-29-2025,St1_1,R1,FSC - FSC-H,SSC - SSC-H,386950,50,7739.000,2721,1485,2857.54,2211.37
OTB_BACT_8-29-2025,St1_1,R3,BL1 - BL1-H,SSC - SSC-H,266709,50,5334.180,47816,934,41356.95,1089.82
OTB_BACT_8-29-2025,St1_1,R1,BL1 - BL1-H,SSC - SSC-H,386950,50,7739.000,36209,1485,45913.58,2211.37
OTB_BACT_8-29-2025,St1_1,R3,FSC - FSC-H,SSC - SSC-H,266709,50,5334.180,2342,934,1731.53,1089.82
OTB_BACT_8-29-2025,St1_2,All Events,BL1 - BL1-H,N/A,391670,50,7833.400,36042,N/A,43344.69,N/A
OTB_BACT_8-29-2025,St1_2,R2,BL1 - BL1-H,N/A,335840,50,6716.800,38983,N/A,32483.57,N/A
OTB_BACT_8-29-2025,St1_2,R1,BL1 - BL1-H,N/A,391670,50,7833.400,36042,N/A,43344.69,N/A
OTB_BACT_8-29-2025,St1_2,R1,FSC - FSC-H,SSC - SSC-H,391670,50,7833.400,2604,1367,2708.28,2043.17
OTB_BACT_8-29-2025,St1_2,R3,BL1 - BL1-H,SSC - SSC-H,276278,50,5525.560,46937,922,39593.71,1057.76
OTB_BACT_8-29-2025,St1_2,R1,BL1 - BL1-H,SSC - SSC-H,391670,50,7833.400,36042,1367,43344.69,2043.17
OTB_BACT_8-29-2025,St1_2,R3,FSC - FSC-H,SSC - SSC-H,276278,50,5525.560,2292,922,1666.09,1057.76
OTB_BACT_8-29-2025,St1_3,All Events,BL1 - BL1-H,N/A,401223,50,8024.460,35862,N/A,43518.92,N/A
OTB_BACT_8-29-2025,St1_3,R2,BL1 - BL1-H,N/A,344561,50,6891.220,38785,N/A,32424.57,N/A
OTB_BACT_8-29-2025,St1_3,R1,BL1 - BL1-H,N/A,401223,50,8024.460,35862,N/A,43518.92,N/A
OTB_BACT_8-29-2025,St1_3,R1,FSC - FSC-H,SSC - SSC-H,401223,50,8024.460,2611,1334,2712.01,1976.92
OTB_BACT_8-29-2025,St1_3,R3,BL1 - BL1-H,SSC - SSC-H,282608,50,5652.160,46701,920,39077.72,1048.69
OTB_BACT_8-29-2025,St1_3,R1,BL1 - BL1-H,SSC - SSC-H,401223,50,8024.460,35862,1334,43518.92,1976.92
OTB_BACT_8-29-2025,St1_3,R3,FSC - FSC-H,SSC - SSC-H,282608,50,5652.160,2299,920,1694.63,1048.69
OTB_BACT_8-29-2025,St2_1,All Events,BL1 - BL1-H,N/A,185335,50,3706.700,33746,N/A,35252.69,N/A
OTB_BACT_8-29-2025,St2_1,R2,BL1 - BL1-H,N/A,163730,50,3274.600,36259,N/A,27871.28,N/A
OTB_BACT_8-29-2025,St2_1,R1,BL1 - BL1-H,N/A,185335,50,3706.700,33746,N/A,35252.69,N/A
OTB_BACT_8-29-2025,St2_1,R1,FSC - FSC-H,SSC - SSC-H,185335,50,3706.700,2483,1201,2629.08,1806.19
OTB_BACT_8-29-2025,St2_1,R3,BL1 - BL1-H,SSC - SSC-H,131989,50,2639.780,43775,854,34337.81,945.69
OTB_BACT_8-29-2025,St2_1,R1,BL1 - BL1-H,SSC - SSC-H,185335,50,3706.700,33746,1201,35252.69,1806.19
OTB_BACT_8-29-2025,St2_1,R3,FSC - FSC-H,SSC - SSC-H,131989,50,2639.780,2208,854,1545.97,945.69
OTB_BACT_8-29-2025,St2_2,All Events,BL1 - BL1-H,N/A,174518,50,3490.360,33345,N/A,34509.10,N/A
OTB_BACT_8-29-2025,St2_2,R2,BL1 - BL1-H,N/A,157117,50,3142.340,35268,N/A,26236.00,N/A
OTB_BACT_8-29-2025,St2_2,R1,BL1 - BL1-H,N/A,174518,50,3490.360,33345,N/A,34509.10,N/A
OTB_BACT_8-29-2025,St2_2,R1,FSC - FSC-H,SSC - SSC-H,174518,50,3490.360,2427,1146,2508.61,1685.84
OTB_BACT_8-29-2025,St2_2,R3,BL1 - BL1-H,SSC - SSC-H,127891,50,2557.820,42006,854,32572.75,931.53
OTB_BACT_8-29-2025,St2_2,R1,BL1 - BL1-H,SSC - SSC-H,174518,50,3490.360,33345,1146,34509.10,1685.84
OTB_BACT_8-29-2025,St2_2,R3,FSC - FSC-H,SSC - SSC-H,127891,50,2557.820,2180,854,1500.06,931.53
