Sample Date,Sample Depth (m),Station ID,Site Name,Latitude,Longitude,Taxa,Abundance (cells/L*),Abundance Notes*,Temp (ᵒC),Salinity,DO (%),DO (mg/L),pH,Chlorophyll fluorescence (RFU),Chlorophyll fluorescence (µg/L),Turbidity (NTU),Sp Cond,Cond units,Bottom Depth (m),HAB ID
8-May-25,0.5,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Karenia brevis,0,,28.96,26.432,100.168,6.661,,,5.045,,,,2.7,HABW250509-001
8-May-25,0.5,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Pseudo-nitzschia spp.,0,,28.96,26.432,100.168,6.661,,,5.045,,,,2.7,HABW250509-001
8-May-25,0.5,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Pyrodinium bahamense,0,,28.96,26.432,100.168,6.661,,,5.045,,,,2.7,HABW250509-001
8-May-25,0.5,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Gonyaulax spp.,667,,28.96,26.432,100.168,6.661,,,5.045,,,,2.7,HABW250509-001
8-May-25,0.5,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Dinophysis spp.,667,,28.96,26.432,100.168,6.661,,,5.045,,,,2.7,HABW250509-001
8-May-25,0.5,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Tripos hircus,20667,,28.96,26.432,100.168,6.661,,,5.045,,,,2.7,HABW250509-001
8-May-25,0.5,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Prorocentrum micans,,present,28.96,26.432,100.168,6.661,,,5.045,,,,2.7,HABW250509-001
8-May-25,0.5,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Prorocentrum cordatum,,present,28.96,26.432,100.168,6.661,,,5.045,,,,2.7,HABW250509-001
8-May-25,2.7,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Karenia brevis,0,,28.31,26.43,75.005,5.042,,,4.83,,,,2.7,HABW250509-002
8-May-25,2.7,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Pseudo-nitzschia spp.,0,,28.31,26.43,75.005,5.042,,,4.83,,,,2.7,HABW250509-002
8-May-25,2.7,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Pyrodinium bahamense,0,,28.31,26.43,75.005,5.042,,,4.83,,,,2.7,HABW250509-002
8-May-25,2.7,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Dinophysis caudata,667,,28.31,26.43,75.005,5.042,,,4.83,,,,2.7,HABW250509-002
8-May-25,2.7,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Eucampia spp.,37333,,28.31,26.43,75.005,5.042,,,4.83,,,,2.7,HABW250509-002
8-May-25,2.7,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Tripos hircus,,present,28.31,26.43,75.005,5.042,,,4.83,,,,2.7,HABW250509-002
8-May-25,2.7,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Ditylum brightwellii,,present,28.31,26.43,75.005,5.042,,,4.83,,,,2.7,HABW250509-002
8-May-25,2.7,TB Pyrodinium Station 01,Philippe Park; NE of (Safety Harbor),28.02,-82.675,Sundstroemia spp.,,present,28.31,26.43,75.005,5.042,,,4.83,,,,2.7,HABW250509-002
8-May-25,0.5,TB Pyrodinium Station 02,Cooper Point; E of (Old Tampa Bay),27.972,-82.673,Karenia brevis,0,,28.79,26.581,107.506,7.163,,,3.429,,,,3.7,HABW250509-003
8-May-25,0.5,TB Pyrodinium Station 02,Cooper Point; E of (Old Tampa Bay),27.972,-82.673,Pseudo-nitzschia spp.,0,,28.79,26.581,107.506,7.163,,,3.429,,,,3.7,HABW250509-003
8-May-25,0.5,TB Pyrodinium Station 02,Cooper Point; E of (Old Tampa Bay),27.972,-82.673,Pyrodinium bahamense,0,,28.79,26.581,107.506,7.163,,,3.429,,,,3.7,HABW250509-003
8-May-25,0.5,TB Pyrodinium Station 02,Cooper Point; E of (Old Tampa Bay),27.972,-82.673,Chaetoceros spp.,,present,28.79,26.581,107.506,7.163,,,3.429,,,,3.7,HABW250509-003
8-May-25,0.5,TB Pyrodinium Station 02,Cooper Point; E of (Old Tampa Bay),27.972,-82.673,Ditylum brightwellii,,present,28.79,26.581,107.506,7.163,,,3.429,,,,3.7,HABW250509-003
8-May-25,0.5,TB Pyrodinium Station 02,Cooper Point; E of (Old Tampa Bay),27.972,-82.673,Eucampia spp.,,present,28.79,26.581,107.506,7.163,,,3.429,,,,3.7,HABW250509-003
8-May-25,0.5,TB Pyrodinium Station 02,Cooper Point; E of (Old Tampa Bay),27.972,-82.673,Sundstroemia spp.,,present,28.79,26.581,107.506,7.163,,,3.429,,,,3.7,HABW250509-003
8-May-25,0.5,TB Pyrodinium Station 03,Old Tampa Bay Park; 1.7 mi S of (Old Tampa Bay),27.98,-82.62,Karenia brevis,0,,28.41,27.059,105.183,7.034,,,3.557,,,,2.7,HABW250509-004
8-May-25,0.5,TB Pyrodinium Station 03,Old Tampa Bay Park; 1.7 mi S of (Old Tampa Bay),27.98,-82.62,Pseudo-nitzschia spp.,0,,28.41,27.059,105.183,7.034,,,3.557,,,,2.7,HABW250509-004
